DOLocationID,payment_type,congestion_surcharge,total_amount,tip_amount
168,2.0,0.0,9.3,0.0
182,1.0,0.0,10.3,0.0
247,2.0,0.0,3.8,0.0
167,2.0,0.0,12.3,0.0
213,1.0,0.0,13.8,0.0
167,2.0,0.0,14.8,0.0
126,2.0,0.0,17.8,0.0
136,2.0,0.0,10.0,0.0
32,1.0,0.0,30.8,2.0
169,2.0,0.0,20.3,0.0
235,2.0,0.0,16.3,0.0
254,1.0,0.0,32.8,0.0
69,2.0,0.0,12.3,0.0
119,1.0,0.0,12.3,0.0
183,2.0,0.0,19.3,0.0
213,1.0,0.0,22.8,0.0
126,1.0,0.0,22.3,0.0
182,1.0,0.0,8.19,1.89
241,1.0,0.0,25.3,0.0
159,2.0,0.0,10.8,0.0
81,1.0,0.0,88.42,0.0
47,2.0,0.0,13.8,0.0
69,2.0,0.0,8.3,0.0
169,1.0,0.0,49.12,0.0
126,2.0,0.0,18.8,0.0
69,2.0,0.0,10.3,0.0
18,2.0,0.0,23.3,0.0
248,2.0,0.0,17.3,0.0
136,2.0,0.0,17.3,0.0
119,2.0,0.0,10.3,0.0
168,2.0,0.0,11.3,0.0
69,1.0,0.0,15.0,2.7
147,2.0,0.0,5.8,0.0
159,2.0,0.0,20.3,0.0
213,1.0,0.0,21.3,0.0
159,1.0,0.0,24.3,0.0
235,2.0,0.0,27.3,0.0
3,1.0,0.0,9.49,2.19
213,1.0,0.0,46.12,0.0
126,2.0,0.0,15.3,0.0
235,2.0,0.0,15.3,0.0
47,2.0,0.0,22.8,0.0
126,2.0,0.0,19.8,0.0
136,1.0,0.0,24.95,4.15
20,2.0,0.0,5.8,0.0
168,2.0,0.0,10.8,0.0
18,2.0,0.0,20.3,0.0
174,2.0,0.0,8.8,0.0
254,2.0,0.0,13.8,0.0
248,1.0,0.0,5.3,0.0
241,1.0,0.0,28.56,4.76
78,1.0,0.0,21.8,0.0
250,1.0,0.0,83.42,0.0
254,1.0,0.0,57.8,0.0
119,1.0,0.0,8.16,1.36
168,2.0,0.0,8.8,0.0
168,2.0,0.0,11.8,0.0
126,1.0,0.0,24.96,4.16
126,2.0,0.0,12.3,0.0
169,2.0,0.0,11.3,0.0
168,2.0,0.0,8.3,0.0
126,1.0,0.0,21.3,0.0
20,2.0,0.0,7.8,0.0
169,2.0,0.0,15.8,0.0
235,2.0,0.0,8.3,0.0
247,2.0,0.0,9.8,0.0
119,2.0,0.0,11.3,0.0
81,1.0,0.0,87.42,0.0
235,2.0,0.0,15.8,0.0
78,2.0,0.0,10.3,0.0
241,2.0,0.0,12.3,0.0
159,2.0,0.0,6.3,0.0
247,2.0,0.0,16.3,0.0
119,2.0,0.0,12.3,0.0
47,2.0,0.0,5.8,0.0
208,1.0,0.0,25.8,2.0
185,1.0,0.0,10.3,1.0
185,1.0,0.0,19.89,4.59
168,2.0,0.0,12.8,0.0
213,2.0,0.0,15.3,0.0
213,2.0,0.0,15.3,0.0
212,2.0,0.0,17.8,0.0
18,1.0,0.0,9.3,0.0
213,2.0,0.0,18.8,0.0
235,2.0,0.0,42.42,0.0
147,1.0,0.0,13.3,0.0
69,2.0,0.0,6.3,0.0
235,2.0,0.0,9.8,0.0
168,1.0,0.0,54.3,0.0
183,1.0,0.0,45.12,0.0
240,2.0,0.0,29.3,0.0
169,2.0,0.0,9.8,0.0
3,1.0,0.0,16.8,0.0
220,2.0,0.0,18.8,0.0
254,1.0,0.0,46.92,0.0
168,1.0,0.0,6.3,0.0
242,1.0,0.0,11.8,0.0
174,1.0,0.0,18.8,0.0
247,2.0,0.0,3.3,0.0
159,2.0,0.0,13.8,0.0
250,2.0,0.0,36.92,0.0
169,1.0,0.0,19.8,0.0
78,1.0,0.0,50.72,1.8
213,2.0,0.0,18.3,0.0
242,2.0,0.0,23.3,0.0
18,2.0,0.0,19.8,0.0
159,2.0,0.0,10.3,0.0
20,1.0,0.0,14.3,2.0
254,1.0,0.0,41.42,0.0
174,1.0,0.0,26.8,0.0
169,1.0,0.0,10.8,0.0
247,2.0,0.0,12.8,0.0
69,2.0,0.0,10.8,0.0
126,2.0,0.0,14.3,0.0
167,1.0,0.0,6.8,0.0
174,1.0,0.0,15.8,0.0
119,2.0,0.0,13.3,0.0
241,2.0,0.0,18.3,0.0
159,2.0,0.0,7.3,0.0
247,2.0,0.0,8.3,0.0
200,1.0,0.0,21.8,3.0
241,1.0,0.0,23.9,2.1
47,2.0,0.0,20.8,0.0
169,2.0,0.0,19.3,0.0
60,1.0,0.0,5.8,0.0
