DOLocationID,payment_type,congestion_surcharge,total_amount,tip_amount
138,1.0,0.0,16.56,2.76
138,2.0,0.0,13.8,0.0
138,2.0,0.0,13.3,0.0
138,1.0,0.0,15.96,2.66
138,1.0,0.0,14.16,2.36
138,2.0,0.0,6.3,0.0
138,1.0,0.0,20.16,3.36
138,2.0,0.0,20.3,0.0
132,2.0,0.0,63.42,0.0
132,1.0,0.0,76.1,12.68
138,2.0,0.0,22.0,0.0
132,1.0,0.0,68.75,11.45
138,1.0,0.0,17.76,2.96
1,2.0,2.75,142.05,0.0
1,1.0,0.0,127.1,21.18
138,1.0,0.0,17.76,2.96
138,2.0,0.0,25.3,0.0
138,2.0,0.0,14.3,0.0
138,1.0,0.0,16.83,1.53
132,1.0,0.0,24.12,4.82
138,1.0,0.0,14.8,0.0
138,1.0,0.0,20.3,2.0
138,2.0,0.0,13.3,0.0
138,1.0,0.0,15.3,0.0
138,1.0,0.0,35.76,5.96
138,1.0,0.0,79.71,12.46
138,2.0,0.0,20.3,0.0
132,2.0,0.0,35.8,0.0
132,1.0,0.0,41.3,9.5
132,2.0,0.0,40.3,0.0
138,1.0,0.0,16.3,2.0
138,2.0,0.0,14.3,0.0
132,1.0,0.0,70.1,11.68
138,1.0,0.0,17.93,1.63
132,2.0,0.0,41.8,0.0
132,1.0,0.0,47.16,7.86
138,2.0,0.0,12.8,0.0
132,1.0,0.0,51.96,8.66
132,1.0,0.0,70.7,11.78
138,1.0,0.0,63.92,0.0
138,2.0,0.0,15.3,0.0
132,1.0,0.0,52.32,6.57
132,1.0,0.0,20.16,3.36
138,1.0,0.0,13.56,2.26
138,1.0,0.0,22.92,0.0
132,2.0,0.0,14.8,0.0
132,2.0,0.0,44.8,0.0
132,2.0,0.0,58.92,0.0
132,2.0,0.0,28.3,0.0
138,2.0,0.0,29.42,0.0
138,1.0,0.0,26.75,2.0
138,1.0,0.0,14.16,2.36
132,2.0,0.0,58.92,0.0
138,2.0,0.0,26.92,0.0
132,1.0,0.0,36.8,0.0
132,1.0,0.0,50.91,7.66
132,2.0,0.0,58.92,0.0
132,1.0,0.0,70.7,11.78
138,1.0,0.0,16.0,3.2
138,1.0,0.0,44.9,7.48
132,2.0,0.0,39.3,0.0
138,1.0,0.0,32.27,5.35
138,1.0,0.0,14.76,2.46
138,2.0,0.0,12.3,0.0
132,1.0,0.0,64.42,0.0
132,2.0,0.0,18.3,0.0
138,2.0,0.0,28.92,0.0
138,1.0,0.0,15.99,3.69
138,2.0,0.0,15.8,0.0
132,2.0,0.0,43.3,0.0
132,2.0,0.0,69.8,0.0
138,1.0,0.0,29.87,4.95
138,1.0,0.0,12.43,1.13
132,1.0,0.0,68.92,10.0
132,2.0,0.0,71.12,0.0
138,1.0,0.0,36.65,5.78
138,2.0,0.0,33.92,0.0
138,1.0,2.75,47.46,7.91
138,1.0,0.0,25.0,3.2
138,1.0,0.0,151.42,0.0
132,1.0,0.0,73.65,14.73
138,2.0,0.0,30.92,0.0
138,1.0,0.0,23.8,3.0
138,2.0,0.0,21.8,0.0
138,1.0,0.0,34.84,4.54
132,1.0,0.0,58.92,0.0
132,1.0,0.0,48.8,0.0
138,2.0,0.0,11.3,0.0
138,1.0,0.0,15.36,2.56
138,1.0,0.0,40.56,6.76
132,2.0,0.0,11.3,0.0
138,1.0,0.0,13.3,0.0
132,1.0,0.0,17.81,0.01
132,2.0,0.0,23.3,0.0
138,1.0,0.0,18.8,2.0
138,1.0,0.0,12.8,1.0
1,1.0,0.0,97.95,19.2
138,2.0,0.0,10.3,0.0
138,1.0,0.0,14.75,2.95
138,1.0,0.0,14.16,2.36
138,1.0,0.0,16.1,2.8
82,2.0,0.0,13.8,0.0
138,1.0,0.0,14.16,2.36
138,2.0,2.75,65.67,0.0
138,1.0,0.0,27.25,5.45
138,1.0,0.0,33.5,5.58
132,2.0,0.0,58.92,0.0
138,1.0,0.0,12.39,0.59
138,2.0,0.0,11.8,0.0
138,1.0,0.0,12.3,0.0
138,1.0,0.0,15.96,2.66
138,2.0,0.0,11.8,0.0
138,2.0,0.0,11.3,0.0
138,1.0,0.0,17.29,3.99
138,1.0,0.0,14.69,3.39
138,2.0,0.0,11.8,0.0
138,2.0,0.0,7.8,0.0
138,1.0,0.0,14.76,2.46
138,1.0,0.0,15.3,2.0
132,2.0,0.0,58.92,0.0
132,1.0,0.0,73.62,14.7
138,2.0,0.0,20.8,0.0
138,1.0,0.0,39.67,6.61
