DOLocationID,total_amount,fare_amount,trip_distance,tip_amount
126,35.92,26.5,8.78,2.0
159,19.3,3.0,0.5,15.0
169,13.8,2.5,0.06,10.0
247,14.76,12.0,1.93,2.46
136,25.56,20.0,6.18,4.26
69,16.0,14.0,3.73,0.7
126,9.36,6.5,1.18,1.56
168,11.76,8.5,1.9,1.96
119,14.68,11.5,2.74,1.88
69,10.56,7.5,1.45,1.76
200,17.76,13.5,3.65,2.96
200,31.38,21.0,6.67,6.28
119,16.3,13.0,4.03,2.0
235,21.36,16.5,5.15,3.56
220,68.15,45.0,16.21,15.73
248,6.36,4.0,0.54,1.06
242,11.62,8.0,1.75,2.32
220,15.95,12.5,3.4,2.65
69,18.59,13.0,3.65,4.29
185,7.56,6.0,0.01,1.26
78,8.8,6.0,1.1,2.0
69,13.56,10.5,2.08,2.26
241,26.0,24.0,7.4,1.2
81,41.3,36.5,12.85,4.0
247,11.76,9.0,1.56,1.96
185,28.8,27.0,7.96,1.0
213,26.91,20.0,5.83,4.16
159,14.04,10.0,2.26,3.24
78,15.3,13.5,2.24,1.0
69,17.94,13.0,2.78,4.14
247,14.76,11.5,2.51,2.46
168,13.0,11.0,2.48,1.2
174,27.51,20.5,5.7,4.26
168,12.95,10.0,2.6,2.15
69,13.8,12.0,2.73,1.0
60,21.38,18.5,5.0,2.08
69,51.5,44.5,15.47,0.08
126,35.3,22.5,7.35,5.88
247,12.36,9.5,2.1,2.06
31,33.72,24.5,8.01,5.62
169,15.8,12.0,2.34,3.0
220,15.3,11.5,2.4,3.0
212,21.96,18.0,0.06,3.66
220,30.96,25.0,7.23,5.16
167,20.16,16.0,4.33,3.36
241,18.96,15.0,4.5,3.16
168,12.36,9.5,1.42,2.06
119,11.76,9.0,1.45,1.96
208,86.3,47.5,14.35,38.0
208,24.0,20.0,3.7,4.0
32,12.8,11.0,3.0,1.0
208,11.8,7.0,1.41,4.0
247,15.3,13.5,3.27,1.0
182,9.38,8.0,0.08,1.08
168,61.16,53.5,15.5,1.16
