DOLocationID,total_amount,fare_amount,trip_distance,tip_amount
264,29.16,24.0,0.01,4.86
265,68.46,44.5,16.16,11.41
265,71.92,60.0,21.66,5.0
264,24.96,20.0,4.67,4.16
265,44.75,35.0,12.04,8.95
265,45.96,36.5,8.97,7.66
264,10.8,8.0,1.35,1.0
265,34.3,30.5,9.43,2.0
264,8.16,5.5,0.72,1.36
264,48.36,40.0,0.03,8.06
264,21.36,16.5,4.08,3.56
265,110.8,80.0,18.37,15.0
265,41.16,18.5,5.32,6.86
265,130.0,107.0,39.76,7.2
265,54.36,45.0,3.08,9.06
265,108.0,90.0,24.3,18.0
264,12.35,9.5,1.8,2.05
264,9.96,8.0,0.01,1.66
265,39.75,31.0,8.66,7.95
265,43.55,34.5,9.1,7.25
264,33.6,28.0,0.03,5.6
265,69.66,45.0,11.0,11.61
264,91.39,70.0,0.01,21.09
265,35.8,30.0,7.3,5.0
265,84.0,60.5,19.48,22.7
264,7.56,5.5,0.71,1.26
265,31.0,24.0,7.93,2.4
264,12.36,10.0,0.01,2.06
264,17.3,15.0,0.01,2.0
265,39.96,31.5,8.29,6.66
264,12.96,9.5,2.01,2.16
265,27.36,21.5,7.1,4.56
265,142.1,111.0,30.95,23.68
265,54.99,41.0,14.68,12.69
264,17.94,12.5,3.12,4.14
265,31.3,29.5,9.38,1.0
264,15.87,13.0,2.1,2.07
264,12.36,10.0,0.12,2.06
264,5.91,2.5,0.15,0.66
265,28.56,23.0,6.78,4.76
265,86.46,68.5,19.53,14.41
264,14.76,12.0,0.03,2.46
265,104.16,85.0,19.72,17.36
265,58.56,47.0,12.85,9.76
264,11.16,9.0,0.08,1.86
264,11.16,7.5,1.16,1.86
264,10.8,7.0,0.8,2.0
265,68.3,56.5,20.69,6.0
264,19.3,17.0,0.16,2.0
265,31.71,23.5,7.45,4.96
265,27.8,25.5,8.56,1.0
264,10.56,8.5,0.01,1.76
265,41.3,40.0,3.23,1.0
265,57.36,46.5,16.82,9.56
265,23.8,21.5,7.3,1.0
265,43.71,34.0,7.39,6.96
264,27.96,23.0,0.01,4.66
264,17.8,15.0,3.19,2.0
264,11.16,8.5,1.59,1.86
264,30.0,25.0,0.01,5.0
264,8.76,7.0,0.04,1.46
265,64.55,41.0,7.73,8.0
264,8.76,7.0,0.02,1.46
265,187.88,150.0,54.1,37.58
265,78.67,45.5,12.4,3.75
265,72.8,66.5,16.93,5.0
264,14.3,12.0,2.83,1.0
264,7.56,6.0,0.02,1.26
265,74.75,58.5,19.5,14.95
265,171.3,20.0,7.08,150.0
264,14.3,12.0,2.75,1.0
265,42.96,34.5,9.32,7.16
265,48.36,40.0,14.08,8.06
264,12.36,10.0,0.01,2.06
264,37.88,30.0,0.01,7.58
265,24.36,20.0,0.3,4.06
264,48.36,40.0,0.01,8.06
265,118.5,80.0,7.75,23.7
265,44.3,27.0,6.14,2.0
265,27.51,20.5,4.33,4.26
264,22.71,16.5,3.15,3.46
264,14.8,7.0,1.14,7.0
265,103.8,70.0,8.82,17.3
264,8.75,6.0,0.8,1.45
265,37.6,32.5,11.69,1.0
264,12.0,9.5,1.85,1.2
265,179.16,148.0,33.23,29.86
264,36.36,30.0,0.01,6.06
264,8.76,7.0,0.78,1.46
264,60.36,50.0,0.23,10.06
264,10.38,8.0,0.01,2.08
265,43.5,34.0,12.37,8.7
265,38.3,32.5,11.41,5.0
265,33.06,13.0,3.79,5.51
264,69.96,58.0,0.04,11.66
264,6.9,2.5,0.01,3.6
264,9.95,7.5,1.2,1.65
265,33.5,26.0,8.68,6.7
265,61.8,60.0,22.5,1.0
264,15.0,12.0,2.25,1.7
265,22.3,20.0,0.01,2.0
264,33.06,24.0,7.65,5.51
265,26.8,23.0,6.06,3.0
265,36.38,30.5,10.1,3.13
264,26.76,22.0,0.07,4.46
264,39.96,32.5,11.52,6.66
264,12.36,9.0,1.69,2.06
264,8.0,7.0,0.01,1.0
264,15.55,10.5,2.61,1.0
265,84.0,70.0,19.4,14.0
265,62.23,54.0,18.93,5.48
265,22.8,19.0,4.7,3.0
264,6.0,4.0,0.61,1.2
264,65.31,52.0,0.01,10.56
264,31.55,25.0,7.25,3.0
265,36.3,31.5,10.57,4.0
264,36.55,32.0,8.75,1.0
265,42.96,35.0,10.67,7.16
265,115.86,84.0,31.8,19.31
264,12.39,11.5,1.3,0.09
264,20.16,15.0,2.93,3.36
265,23.91,16.5,4.86,3.66
264,21.96,18.0,0.01,3.66
265,46.54,34.5,11.3,10.74
264,5.8,2.5,0.01,2.0
265,36.36,30.0,0.04,6.06
265,30.96,25.0,7.75,5.16
265,87.3,81.5,21.14,5.0
