DOLocationID,total_amount,fare_amount,trip_distance,tip_amount
190,13.5,9.5,2.0,2.7
17,11.62,8.0,1.45,2.32
97,8.76,6.0,0.87,1.46
181,10.14,6.5,0.81,2.34
257,10.56,7.5,1.92,1.76
255,15.95,12.0,2.5,2.65
181,21.95,17.0,4.8,3.65
36,20.76,16.0,3.81,3.46
61,15.36,11.5,2.36,2.56
54,26.16,20.5,5.91,4.36
61,16.09,11.0,2.57,1.84
17,20.76,16.0,3.73,3.46
65,9.12,6.0,1.39,1.82
61,16.56,12.5,2.93,2.76
97,30.51,22.5,5.41,4.76
17,20.3,12.0,2.62,7.0
89,19.56,15.0,3.74,3.26
257,14.16,10.5,2.67,2.36
112,26.3,23.0,7.49,2.0
255,14.04,9.5,2.0,3.24
65,6.36,4.0,0.64,1.06
37,20.38,15.0,3.7,4.08
61,11.62,8.0,1.75,2.32
80,24.3,22.0,6.96,1.0
225,30.36,25.0,2.3,5.06
181,20.76,16.0,4.16,3.46
228,9.36,6.5,1.31,1.56
61,16.56,12.5,3.41,2.76
97,7.56,5.0,0.92,1.26
80,24.36,20.0,0.92,4.06
188,54.36,45.0,5.49,9.06
195,26.76,21.0,6.53,4.46
25,12.8,10.5,2.66,1.0
85,30.96,24.5,6.53,5.16
188,19.75,14.5,3.54,3.95
91,21.8,17.5,4.33,3.0
77,11.0,7.5,1.7,2.2
97,12.8,10.5,2.45,1.0
255,19.89,14.0,4.05,4.59
112,8.76,6.0,1.12,1.46
97,12.96,9.5,1.97,2.16
36,9.96,7.0,1.38,1.66
80,6.36,4.0,0.52,1.06
255,10.8,8.5,1.29,1.0
112,12.09,8.0,1.71,2.79
225,21.3,18.0,4.4,2.0
97,7.8,5.5,0.6,1.0
25,24.96,19.5,5.68,4.16
97,17.76,13.5,3.11,2.96
89,15.96,12.0,2.93,2.66
256,13.56,10.0,2.11,2.26
37,14.12,10.0,2.27,2.82
112,17.94,12.5,2.78,4.14
112,12.09,8.0,1.91,2.79
256,6.36,4.0,0.53,1.06
37,9.36,6.5,1.27,1.56
36,47.92,35.5,12.14,5.0
255,55.0,54.0,0.1,1.0
256,9.36,6.5,1.07,1.56
61,27.36,21.5,6.58,4.56
61,11.62,8.0,1.82,2.32
255,6.0,3.5,0.37,1.2
256,10.79,7.0,1.43,2.49
225,14.75,11.0,2.3,2.45
80,15.96,12.0,2.78,2.66
256,14.16,10.5,1.83,2.36
22,13.0,9.5,2.16,2.2
36,8.84,5.5,1.01,2.04
256,24.3,3.0,0.15,20.0
256,7.56,5.0,0.71,1.26
62,12.36,9.0,1.79,2.06
181,12.8,9.5,1.8,2.0
89,20.15,15.5,3.9,3.35
37,65.3,47.0,17.4,10.88
80,8.16,5.5,1.04,1.36
256,16.8,10.5,2.51,5.0
17,7.56,5.0,0.69,1.26
89,36.3,31.0,10.37,4.0
80,9.75,6.5,0.99,1.95
256,8.5,5.5,1.1,1.7
255,5.8,4.0,0.53,0.5
225,11.44,7.5,1.68,2.64
97,8.19,5.0,0.7,1.89
225,14.04,9.5,1.86,3.24
14,22.2,18.0,4.42,2.9
37,19.56,15.0,3.66,3.26
181,29.6,21.5,5.9,6.8
225,22.49,16.0,3.55,5.19
37,12.96,9.5,2.03,2.16
49,12.25,8.5,1.83,2.45
80,103.0,98.0,0.2,5.0
80,11.75,8.5,1.7,1.95
62,9.95,7.0,1.1,1.65
112,19.75,14.5,3.74,3.95
228,14.72,11.5,3.12,1.92
89,30.3,27.0,8.7,2.0
34,26.3,25.0,3.46,1.0
112,17.3,11.0,2.42,5.0
37,9.96,7.0,1.14,1.66
61,80.8,75.5,4.78,5.0
65,19.8,16.5,4.29,2.0
112,39.71,26.5,7.56,9.16
188,30.36,24.0,6.75,5.06
181,33.36,26.5,7.85,5.56
65,39.3,38.0,4.5,1.0
37,24.36,20.0,0.97,4.06
61,14.75,10.5,2.43,2.95
25,22.56,17.5,4.7,3.76
228,38.16,30.5,10.49,6.36
36,20.75,16.0,3.8,3.45
80,30.38,23.0,6.69,6.08
36,10.38,7.0,1.21,2.08
37,17.16,13.0,3.34,2.86
80,9.95,7.0,1.3,1.65
112,15.38,11.0,2.89,3.08
225,18.8,15.5,3.3,2.0
52,7.2,4.5,0.6,1.4
49,15.95,12.0,2.5,2.65
256,7.56,5.0,0.65,1.26
80,45.0,40.0,0.04,5.0
181,24.36,20.0,5.11,4.06
255,6.96,4.5,0.42,1.16
228,22.25,16.5,4.3,4.45
80,50.38,50.0,1.39,0.08
112,11.8,8.0,1.79,2.5
61,16.64,11.5,2.62,3.84
37,12.36,10.0,19.0,2.06
89,66.62,53.0,6.51,13.32
65,35.38,28.0,4.25,7.08
36,8.16,5.5,0.74,1.36
25,19.8,16.5,4.56,2.0
37,75.96,63.0,0.15,12.66
37,18.5,13.5,2.17,3.7
255,9.36,7.0,1.04,1.56
17,17.76,14.0,3.73,2.96
97,10.3,7.5,1.44,2.0
36,6.8,5.0,0.82,1.0
80,12.96,10.0,2.38,2.16
181,21.3,18.5,5.3,2.0
150,7.55,5.5,1.0,1.25
256,64.86,53.75,1.46,10.81
89,48.5,38.0,11.82,9.7
255,13.0,10.5,2.3,1.7
80,33.0,30.0,0.12,3.0
80,55.0,50.0,0.02,5.0
225,14.91,10.0,2.0,2.16
80,32.0,30.0,0.4,2.0
80,144.36,120.0,0.26,24.06
210,63.36,52.0,18.86,10.56
225,15.38,11.5,2.86,3.08
80,78.0,65.0,0.1,13.0
61,7.54,5.0,0.91,1.74
80,11.62,8.5,2.04,2.32
112,15.35,12.0,2.7,2.55
256,15.38,11.5,3.06,3.08
189,23.1,17.0,5.3,5.3
181,45.3,40.0,6.27,5.0
256,30.36,25.0,2.1,5.06
80,48.36,40.0,0.01,8.06
255,12.3,10.0,2.01,1.5
14,22.88,17.5,5.53,4.58
36,13.3,10.5,2.49,2.0
80,54.36,45.0,0.03,9.06
80,144.36,120.0,0.04,24.06
255,11.15,8.5,1.9,1.85
255,17.16,13.5,3.45,2.86
181,8.16,6.0,1.09,1.36
37,9.35,7.0,1.2,1.55
80,26.76,21.5,7.49,4.46
256,14.16,11.0,2.81,2.36
225,31.62,25.0,1.16,6.32
65,65.45,60.0,3.93,5.15
17,14.15,11.0,2.5,2.35
255,12.35,9.5,2.0,2.05
255,22.25,17.0,4.96,4.45
55,8.84,6.0,1.32,2.04
97,8.16,6.0,1.02,1.36
36,6.8,5.0,0.89,1.0
25,28.34,21.0,6.03,6.54
36,8.3,5.5,1.2,2.0
65,12.96,10.0,2.5,2.16
89,18.8,17.0,4.6,1.0
25,6.96,5.0,0.97,1.16
40,6.89,4.5,0.69,1.59
106,24.35,19.5,6.3,4.05
225,15.36,12.0,2.63,2.56
61,7.56,5.5,0.99,1.26
33,26.8,23.0,7.91,3.0
106,12.36,9.5,2.46,2.06
17,21.0,16.0,4.06,4.2
97,7.25,5.0,0.87,1.45
188,16.62,12.5,3.41,3.32
49,11.76,9.0,2.14,1.96
257,8.15,6.0,1.2,1.35
40,6.96,5.0,0.9,1.16
225,19.12,14.5,3.53,3.82
189,6.8,5.0,0.56,1.0
106,9.1,6.5,1.1,1.8
256,18.6,11.0,2.76,6.8
228,9.96,7.5,1.54,1.66
37,21.6,18.0,1.1,3.6
33,31.05,24.5,7.25,3.8
37,9.96,7.5,1.55,1.66
181,11.0,8.0,1.73,2.2
256,18.36,14.5,3.68,3.06
49,17.25,13.0,3.18,3.45
66,290.68,7.0,1.09,282.88
181,6.36,4.5,0.6,1.06
21,45.36,37.0,13.07,7.56
255,8.75,6.5,1.5,1.45
25,5.52,4.0,0.6,0.72
37,18.36,15.0,1.29,3.06
66,12.96,10.0,2.23,2.16
189,10.56,8.0,1.68,1.76
33,10.56,8.0,1.33,1.76
89,15.81,15.0,3.78,0.01
40,6.36,4.5,0.8,1.06
33,6.89,4.5,0.79,1.59
188,19.12,14.5,3.62,3.82
80,9.6,3.0,0.26,5.8
36,11.76,9.0,1.98,1.96
97,8.76,6.5,1.13,1.46
89,60.69,45.0,16.19,12.14
165,43.8,41.0,13.75,2.0
65,9.12,6.5,0.98,1.82
181,10.79,7.5,1.52,2.49
181,8.84,6.0,0.9,2.04
62,16.28,14.0,3.7,1.48
52,11.0,8.0,2.0,2.2
65,6.95,5.0,0.8,1.15
189,12.96,10.0,2.07,2.16
97,10.38,7.5,1.19,2.08
40,12.36,9.5,2.24,2.06
49,31.3,30.0,3.77,1.0
189,8.8,7.0,1.19,1.0
189,16.0,12.0,2.74,3.2
189,9.12,6.5,0.92,1.82
40,12.36,9.5,1.89,2.06
17,26.3,24.5,7.93,1.0
25,36.36,29.5,10.39,6.06
256,17.8,14.0,3.81,3.0
255,20.76,16.5,4.19,3.46
40,9.96,7.5,1.46,1.66
25,30.96,25.0,7.94,5.16
49,14.91,10.0,1.96,2.16
195,22.56,18.0,5.81,3.76
55,45.3,38.5,13.91,6.0
181,13.56,10.5,2.58,2.26
181,11.62,8.5,1.7,2.32
189,6.62,4.5,0.68,1.32
225,16.62,12.5,3.27,3.32
61,17.15,13.5,3.3,2.85
181,44.55,38.0,12.7,3.0
65,17.76,14.0,2.4,2.96
65,8.76,6.5,1.2,1.46
255,24.36,19.5,5.82,4.06
33,6.36,4.5,0.75,1.06
40,7.24,5.5,1.08,0.94
52,6.62,4.5,0.87,1.32
97,29.16,23.5,6.54,4.86
40,9.3,5.5,1.14,3.0
181,8.05,4.5,0.62,0.8
255,17.16,13.5,3.8,2.86
189,11.62,8.5,1.88,2.32
257,11.76,9.0,1.97,1.96
55,37.25,29.0,8.65,7.45
112,9.36,7.0,1.47,1.56
66,9.36,7.0,1.25,1.56
25,7.56,5.5,1.0,1.26
255,41.3,27.5,9.43,6.88
25,46.86,35.5,12.17,7.81
112,18.8,17.0,4.79,1.0
37,8.5,6.0,1.03,1.7
106,14.04,10.0,1.9,3.24
37,18.36,14.5,3.63,3.06
181,12.25,9.0,1.69,2.45
181,9.95,7.5,1.4,1.65
77,23.31,17.0,4.4,3.56
66,7.56,5.5,0.88,1.26
255,17.16,13.5,3.7,2.86
255,16.56,13.0,3.52,2.76
217,8.76,6.5,1.18,1.46
49,12.36,9.5,2.02,2.06
255,34.56,28.0,9.36,5.76
49,12.35,9.5,1.7,2.05
65,8.3,6.5,1.28,1.0
106,8.76,6.5,1.07,1.46
195,8.76,6.5,1.68,1.46
55,40.0,39.0,13.58,0.2
227,26.25,21.5,5.21,2.0
195,14.8,9.0,1.87,5.0
36,6.8,5.0,0.77,1.0
112,32.91,25.0,8.18,5.16
25,9.12,6.5,1.29,1.82
80,7.8,5.0,0.65,2.0
255,14.76,11.5,2.56,2.46
33,8.75,6.5,1.1,1.45
257,8.16,6.0,0.93,1.36
97,8.5,6.0,1.16,1.7
255,15.36,12.0,3.03,2.56
49,10.56,8.0,1.73,1.76
181,8.5,6.0,0.94,1.7
37,31.3,26.5,8.76,4.0
33,6.96,5.0,0.61,1.16
66,14.75,11.0,3.14,2.95
33,6.36,4.5,0.48,1.06
112,9.36,7.0,1.45,1.56
65,17.25,13.0,2.94,3.45
25,6.95,5.0,0.7,1.15
54,12.36,9.5,1.89,2.06
195,12.25,9.0,2.17,2.45
181,8.15,6.0,1.0,1.35
61,12.25,9.0,1.7,2.45
25,11.15,8.5,1.5,1.85
181,9.49,6.5,0.96,2.19
97,6.8,5.0,0.9,1.0
181,10.38,7.5,1.28,2.08
37,30.8,29.0,9.86,1.0
97,14.12,10.5,1.88,2.82
49,10.38,7.5,1.33,2.08
40,9.8,7.0,0.98,2.0
257,15.3,12.5,2.95,2.0
225,17.25,12.5,2.85,2.0
210,12.05,8.5,2.1,2.75
189,10.56,8.0,1.7,1.76
189,17.76,14.0,3.34,2.96
49,11.16,8.5,1.63,1.86
40,7.25,5.0,0.78,1.45
22,18.96,15.0,4.3,3.16
17,10.79,7.5,1.63,2.49
181,16.09,11.5,2.7,1.84
181,10.71,6.5,1.2,1.46
61,14.75,11.5,2.9,2.45
97,8.5,6.0,1.04,1.7
65,6.36,4.5,0.63,1.06
25,7.56,5.5,0.97,1.26
61,19.56,15.5,3.81,3.26
33,8.16,6.0,0.86,1.36
40,9.36,7.0,1.66,1.56
33,9.0,7.0,1.0,1.2
40,8.5,6.0,1.17,1.7
255,35.3,30.0,9.9,4.5
17,11.16,8.5,1.7,1.86
17,5.76,4.0,0.49,0.96
52,10.38,7.5,1.5,2.08
97,10.7,8.5,1.17,1.4
181,18.0,14.5,3.49,2.7
52,8.19,5.5,0.98,1.89
40,11.44,8.0,1.76,2.64
61,14.76,11.5,2.54,2.46
40,5.76,4.0,0.69,0.96
255,21.6,15.5,4.5,4.3
97,7.8,5.5,0.87,1.5
49,12.88,9.5,1.91,2.58
189,12.25,9.0,2.03,2.45
97,6.96,5.0,0.03,1.16
49,11.75,8.0,1.2,1.95
181,5.15,3.5,0.4,0.85
106,12.36,8.5,1.5,2.06
26,21.8,18.0,4.97,3.0
181,9.96,6.5,1.46,1.66
97,8.4,6.5,0.98,1.1
189,9.36,7.0,1.01,1.56
29,7.55,5.5,0.9,1.25
25,40.56,33.0,10.61,6.76
37,10.79,7.5,1.35,2.49
33,7.4,4.5,0.64,1.1
49,10.14,7.0,1.14,2.34
256,21.19,15.5,4.89,4.89
61,12.36,9.5,1.74,2.06
255,31.3,30.0,1.43,1.0
228,23.37,13.5,3.73,6.12
