DOLocationID,total_amount,fare_amount,trip_distance,tip_amount
132,72.65,52.0,21.54,11.78
132,53.76,44.0,12.63,8.96
138,15.87,13.0,3.54,2.07
138,22.3,20.0,4.24,2.0
138,13.5,10.0,2.88,2.7
138,12.96,10.0,2.77,2.16
132,70.7,52.0,19.27,11.78
138,31.78,18.5,6.07,6.36
138,17.16,13.5,4.07,2.86
132,66.36,55.0,13.74,11.06
138,15.99,11.5,3.07,3.69
138,43.85,28.0,9.69,6.98
132,52.56,43.0,12.82,8.76
132,63.92,52.0,19.33,5.0
138,18.96,15.0,4.26,3.16
132,90.96,75.0,27.86,15.16
132,60.3,51.5,18.2,8.0
138,16.0,12.0,3.38,3.2
132,70.7,52.0,19.09,11.78
138,45.5,31.0,10.93,7.58
132,45.96,38.0,9.03,7.66
138,14.76,11.5,3.22,2.46
132,62.8,51.0,18.1,10.0
138,18.96,15.0,3.28,3.16
138,18.96,14.0,4.23,3.16
132,80.63,71.5,27.04,7.33
132,73.42,52.0,19.24,10.0
138,16.56,12.0,3.32,2.76
138,15.96,11.5,2.93,2.66
138,14.16,10.0,2.75,2.36
138,20.16,15.0,4.6,3.36
132,76.1,52.0,17.78,12.68
132,68.75,52.0,15.2,11.45
138,17.76,13.0,3.51,2.96
1,127.1,85.5,30.5,21.18
138,17.76,13.0,3.17,2.96
138,16.83,13.5,3.8,1.53
132,24.12,17.5,5.14,4.82
138,20.3,16.5,5.25,2.0
138,35.76,28.0,8.59,5.96
138,79.71,60.5,22.66,12.46
132,41.3,30.0,9.0,9.5
138,16.3,12.5,3.57,2.0
132,70.1,50.5,18.13,11.68
138,17.93,14.5,3.63,1.63
132,47.16,37.5,13.89,7.86
132,51.96,42.0,15.13,8.66
132,70.7,52.0,17.75,11.78
132,52.32,42.5,15.24,6.57
132,20.16,15.5,5.02,3.36
138,13.56,10.0,2.33,2.26
138,26.75,18.5,5.86,2.0
138,14.16,10.5,3.31,2.36
132,50.91,37.5,11.96,7.66
132,70.7,52.0,18.55,11.78
138,16.0,12.0,3.44,3.2
138,44.9,30.5,8.6,7.48
138,32.27,19.5,6.0,5.35
138,14.76,11.5,3.2,2.46
138,15.99,11.5,3.06,3.69
138,29.87,18.0,5.8,4.95
138,12.43,10.5,2.53,1.13
132,68.92,52.0,18.94,10.0
138,36.65,22.0,6.88,5.78
138,47.46,36.0,10.35,7.91
138,25.0,21.0,7.04,3.2
132,73.65,52.0,19.17,14.73
138,23.8,20.0,6.05,3.0
138,34.84,29.5,10.12,4.54
138,15.36,12.0,3.11,2.56
138,40.56,33.0,11.3,6.76
132,17.81,17.0,5.64,0.01
138,18.8,16.0,4.76,2.0
138,12.8,11.0,3.12,1.0
1,97.95,66.0,16.44,19.2
138,14.75,11.0,3.06,2.95
138,14.16,11.0,3.1,2.36
138,16.1,12.5,3.74,2.8
138,14.16,11.0,2.54,2.36
138,27.25,21.0,7.2,5.45
138,33.5,21.0,6.82,5.58
138,12.39,11.0,3.13,0.59
138,15.96,12.5,3.77,2.66
138,17.29,12.5,3.54,3.99
138,14.69,10.5,3.28,3.39
138,14.76,11.5,3.43,2.46
138,15.3,12.5,3.54,2.0
132,73.62,52.0,18.7,14.7
